2026-05-02 23:07:48 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: Imbalance 1.2 < 1.25
2026-05-02 23:07:50 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: Imbalance 0.7 < 1.25
2026-05-02 23:11:17 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: Vol 5.0 < 10
2026-05-02 23:11:19 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.16% > 0.75%
2026-05-02 23:11:21 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.08% > 0.75%
2026-05-02 23:11:21 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 0.84% > 0.75%
2026-05-02 23:11:21 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 0.83% > 0.75%
2026-05-02 23:11:23 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.15% > 0.75%
2026-05-02 23:11:24 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.05% > 0.75%
2026-05-02 23:11:25 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.04% > 0.75%
2026-05-02 23:11:25 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.03% > 0.75%
2026-05-02 23:11:25 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.02% > 0.75%
2026-05-02 23:11:25 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 0.98% > 0.75%
2026-05-02 23:11:26 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 0.91% > 0.75%
2026-05-02 23:11:26 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 0.93% > 0.75%
2026-05-02 23:11:26 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 0.90% > 0.75%
2026-05-02 23:11:26 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: Vol 5.2 < 10
2026-05-02 23:11:26 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 0.87% > 0.75%
2026-05-02 23:11:31 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.35% > 0.75%
2026-05-02 23:11:31 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.34% > 0.75%
2026-05-02 23:11:32 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.08% > 0.75%
2026-05-02 23:11:32 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.01% > 0.75%
2026-05-02 23:11:32 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.00% > 0.75%
2026-05-02 23:11:33 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 0.97% > 0.75%
2026-05-02 23:11:33 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 0.96% > 0.75%
