2026-04-02 23:31:08 | DEBUG | bot | [AEVOUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:09 | DEBUG | bot | [VANRYUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:09 | DEBUG | bot | [BOMEUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:10 | DEBUG | bot | [ETHFIUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:10 | DEBUG | bot | [POPCATUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:11 | DEBUG | bot | [WUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:12 | DEBUG | bot | [ENAUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:12 | DEBUG | bot | [DEGENUSDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:31:13 | DEBUG | bot | [TNSRUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:13 | DEBUG | bot | [SAGAUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:14 | DEBUG | bot | [TAOUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:14 | DEBUG | bot | [MERLUSDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:31:15 | DEBUG | bot | [MEWUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:15 | DEBUG | bot | [BRETTUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:16 | DEBUG | bot | [BBUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:16 | DEBUG | bot | [PTUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:17 | DEBUG | bot | [NOTUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:17 | DEBUG | bot | [TURBOUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:18 | DEBUG | bot | [IOUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:18 | DEBUG | bot | [ZKUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:19 | DEBUG | bot | [LISTAUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:19 | DEBUG | bot | [ZROUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:20 | DEBUG | bot | [BANANAUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:20 | DEBUG | bot | [RENDERUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:21 | DEBUG | bot | [RAREUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:21 | DEBUG | bot | [SYNUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:22 | DEBUG | bot | [SUNUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:22 | DEBUG | bot | [MBOXUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:23 | ERROR | bot | [U1000000BABYDOGEUSDT] Ошибка настройки: private api request failed: phemex error [10500]: failed to find symbol u1000000babydogeusdt
2026-04-02 23:31:23 | DEBUG | bot | [NEIROUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:24 | DEBUG | bot | [POLUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:24 | DEBUG | bot | [FIDAUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:25 | DEBUG | bot | [CATIUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:25 | DEBUG | bot | [HMSTRUSDT] Успешно: ISOLATED Margin, Lev=21x
